,0
83,untuk ml versi terbaru ini sangat tidak menyenangkan game menjadi terasa berat dan rasa kemoba an nya menjadi seperti hilang karena adanya gambar Hero di depan terjadi banyak masalah dimana semua data sudah full download tpi hero tetap telor
84,Gak seru ML Kadang sering buat emosi Player bocil gak guna Tambah lagi sistem Moontoon menurunkan semua player ke LV yang sama Sulit buat main serasa main sendiri Great Gua gak kecewa dan gak akan main lagi
85,hero bagus tampilan skin oke tapi sistem pertandingan gak jelas pertandingan cuma sia sia kalah  menang  gak cuma itu tim nya bebannoob sedangkan musuh pro apakah ini sistem pertandingan game moba kalau pertandingan gak imbang lama lama player lain pada pensi jangan update aja yang lancar tapi pertandingn juga harus di perbaiki terima kasih
86, jaringan baik dan cukup masih aja lag kadang ping ms tbtb ms nya lama banget lalu normal lagi lalu jumping tinggi lagi  sistem matchmakingnya gajelas kebanyakan dapet tim yang gak seimbang seperti dapet tim yang baru bisa main ML tapi di tier rank tinggi pas main jadi beban sehingga menyebabkan kekalahan dan lawannua proplayer yang diatas kita To Moonton  Tolong di perbaiki lagi dengan segera problem yang sedang dalam keluhan pengguna agar memberikan kenyaman bagi penggunanya
87,Ini sehabis update hero nolan maen brawlclaiscrank knp jadi  detik jaringan merah yaaterus  detik hijau yaa Apa memperngaruh ketika saya pt dgn publik  team sinyal merah semua Sehabis match sampe skrg Malah sinyal gk jelas Padahal sinyal bar stabil di 
88,Gameplay tidak sesuai kadang dapat tim yang match nya lebih kecil dan juga selalu bertemu pemain pemula dark sistem Sesuai kan kembali gameplay nya sesuai match dan rank nya terkadang ketemu tim rank sama match beda jauh
89,sinyal bisa tiba tiba hilang ping naik turun padahal pake wifi yang pake cuma gw doang Muncul tulisan menghubung kembali setiap mau war padahal dulu nggak pernah Wifi gw dipake download file besar juga lancar dan cepet buat main ml malah lag padahal nggak butuh banyak data
90,Semenjak diperbarui sering sekali masalah lag disaat war jadi performa bermain tidak maksimal karena skill yang digunakan tidak berfungsi karena hp yang sudah menggunakan prosessor snapdragon  dengan Ram  GB yang sebenernya masih layak buat bisa mengikuti game yang berkompetisi ini dilihat dari player yang masih banyak memiliki kurangnya spek yang rendah sebaiknya game tidak terlalu memikirkan visual yang begitu wah karena demi kenyamanan untuk seorang player yang bermain
91,Kenapa lg ini game Kalian juga tahu sendiri lahbanyaknya masalah matchmaking game ini Mulai dari tim dongogk seimbangngetrollgk bisa maindll Ditambah lagi update interface yg bikin gamenya makin berat Jadi sering lagping naik turunngeframe drop dah jadi makanan seharihari Hp menengah kebawah mulai kelojotan jalanin ini game walaupun pakai grafis rata kiri Tiap update selalu utamain skinevent dan gk memperhatikan kenyamanan gameplay dan keluh kesah para playernya Entahlah N bg
92,Dark System  aku ga tau itu benar adanya atau tidak tapi yang kurasakan saat dalam permainan aku sering mengalami kekalahan karena terlalu sering mendapatkan rekan tim tak berguna dan selalu mendapatkan musuh yang kompak dalam setiap team fightnya dan satu lagi setelah update ini kenapa banyak sekali bugnya dimana sebagian besar dari tampilan hero bak seperti telor dan itu sangat menyebalkan sama seperti moonton yang menyebalkan dan RSS
93,Setelah update versi terbaru bukannya makin lancar malah lebih sering mengalami bug ataupun aplikasi tidak dapat beroperasi Salah satu penyebab pertandingan lose strike sebanyak  kali entah itu dimode apapun
94,Sekarang lebih banyak bug Padahal sudah semuanya di download data tapi tiba gambar di menu utama hilang Kalau mau seperti semula harus hpus game nya download ulang lagi Rugi kuota rugi waktu sekarang cuma gara bug yang begini Udh download semua datanya tapi tiba beberapa gambar konten hilang Cek di download padahal sudah di download semua
95,Makin hari makin aneh nih game udah sistem matchmakingnya gajelas ngasih tim ga seimbang banyak bugnya juga ditambah jaringan yang sering lag Pliss lah montoon perbaiki semuanya terutama sistem jaringan matchmaking dan bugnya
96,Banyak bug sekarang di update terbaru tidak bisa memulai permainan pada saat masuk lobymatcmaking lamajaringan tidak stabilmana bisa kalok macem gini di update terbarutolong moonton perbaiki bug yng tidak jelas 🙏🙏🙏
97,Game nya jelek banget sering lag saat war padahal jaringan nya bagus tapi pas main game ini langsung lag  merah dan patahpatahh Dan jangan update terusssssss nanti bagaimana nasib HP yang ram   Bila perlu tidak usah merilis project next 
98,Untuk kali ini saya memberikan bintang satu di karena di dalam game terjadi banyak bug salah satunya terjadi lag padahal jaringan bagus dan ping dalam game berwarna hijau tetapi di dalam mact ataupun pertandingan terjadi lag saya harap masalah itu bisa di perbaiki
99,Sistemnya gak jelas masa lostreak gara dapat tim tukang ngetroll terus dapat lawan yang kompak Harusnya kasih rata lah pembagian pemainnya pas waktu mau match masa harus di sengaja di kasih lostreak kadang juga dapat bot di tim kayak sudah sepi aja yang main sampe ada bot Intinya saya kecewa aja sudah main capek dapat tim yang selalu buat pelanggaran kalau sekalikali sih gak masalah lah ini sampe x berturut dapat tim yang feeder
